elbo,elbo_var
-107.89934642563738,-3.3473147473020464
-158.0830897835026,-6.308952075811902
-94.9944160507793,-5.674634848654596
-76.7454731743756,-6.614942128865426
-125.77219899375014,-5.9212941940418835
-157.66417278793608,-20.3826353499085
-64.33348992757365,-2.5751232246145452
-107.70140936962603,-12.793102854579523
-142.98434626628978,-2.8466548532880886
-132.5510189617018,-5.558730474310139
-123.792541464449,-12.522387460576777
-88.00535308916909,-3.907928609130901
-93.91434867056115,-2.44802235198458
-78.53054668268305,-3.3502372732393035
-115.6405609295955,-6.688730328653554
-123.06553607808598,-7.6361316461460165
-96.7480331351354,-3.9418469102923206
-134.06284921551676,-28.645865929745373
-89.52252704621286,-7.1002725853492175
-109.74500546462357,-4.817047486423721
-117.64472699824704,-5.579116737783817
-137.68708219716376,-4.568326042054504
-85.208673606268,-1.4308845754510457
-130.19562881145046,-8.829258699647804
-50.52216149314269,-3.830721510249146
-53.02058444060685,-3.5389612047800463
-95.31179460447164,-4.463940113424362
-112.6011828238739,-6.812702094187003
-115.92286969902374,-5.574798136978106
-108.51576109111998,-10.954023538819767
-105.12432593179638,-2.9189005848601877
-54.13480357504916,-2.3622804786195206
-143.13053235667866,-8.634623179073202
-112.18493782809176,-3.760275171892973
-98.72113994664085,-5.681834878234991
-85.15587578633726,-3.368472247769103
-119.35738923177377,-5.056460686180581
-107.59837767886877,-4.7500166049511146
-125.49711622040417,-8.982585274151099
-143.82248279040851,-3.8566159020899216
-84.69588886444035,-2.0886680366105312
-96.22472342230992,-7.491670217105361
-103.96677685155386,-4.680636300088241
-81.44008819060716,-3.3423095225994244
-85.37231916057749,-1.6429094298398936
-52.0962943605173,-1.3509795493314563
-107.21262950719431,-7.63265498514827
-108.74578045328174,-2.990973784941486
-126.7035248780211,-9.68133108222828
-125.74999353573389,-20.42830451217637
-106.60746777775644,-4.3621193496134145
-123.78483955527659,-1.3940707376535841
-102.27564740878948,-7.5772939756785025
-96.80499656268577,-4.146280092649849
-119.0312936990453,-5.55022208973295
-96.41733204960642,-7.83624341353587
-85.289591167058,-2.4922917467067687
-95.21652809633878,-9.649539840143648
-116.4696831994984,-10.413451188061757
-86.05799667971321,-7.057696421026198
-88.5630461271209,-1.9527204404082035
-145.69248427445336,-6.933074974562658
-81.98170475536978,-3.0358211237930828
-123.02630948131674,-9.041551425400996
-52.805955772820255,-2.149858290052672
-52.8370098692593,-1.9961245437540274
-96.15061431304268,-3.727092983929071
-147.68617683431563,-22.19425863534389
-82.23842549823041,-4.651913690416986
-113.08353361306095,-3.754208003619586
-56.15874414828702,-2.6079567612891292
-111.41512042427962,-2.1742606412803576
-130.71565606063353,-10.114741404065832
-138.93485006666225,-11.634438680508305
-85.79647305016076,-1.5937510775506927
-105.72534840554178,-5.596908175463728
-111.96761005180468,-1.8456550540335275
-105.0665863437035,-6.743064649407113
-95.63877088626747,-4.436020728636815
-110.29699501978797,-4.350352776511655
-124.406373436146,-6.897854882162241
-110.34150658127987,-4.958425727247664
-115.1591601721116,-5.460809433189265
-112.90519420016281,-5.415070963292404
-106.961900693493,-11.538687637966124
-99.05982462439495,-1.5132632493135691
-87.63219033902783,-6.41372187465132
-111.69931037306297,-5.322844663494479
-124.7821949918519,-3.5315568876348777
-104.11249273700582,-6.856568881983226
-115.02722577037358,-7.139514572082002
-87.51043457428436,-7.659757384702952
-97.11192056684051,-4.890069761495753
-104.73163381932505,-1.3386792953996294
-130.52408699099902,-6.956487031488945
-99.8736134624279,-2.5274191676431363
-113.43367061697455,-4.988260231234212
-103.18793019021933,-4.473682073061517
-112.5145349970233,-5.503868581029242
-84.7115085361948,-5.33533627501341
-56.619436322216934,-0.871908625012511
-106.5129061365331,-4.891687095746451
-127.5388305129341,-4.0246464655980185
-101.19305148928207,-4.262962709866078
-98.6255457338879,-3.542641373232554
-85.9276638095699,-2.6132394316666834
-66.4522248394997,-4.482354373386478
-139.733123041921,-3.8671151655292206
-79.62420905968128,-2.7032762142614937
-80.76381785173922,-1.2526418584366956
-63.48726371823905,-8.891963264055395
-93.01542880659187,-7.406853591828546
-62.005990710533865,-5.780246993116628
-58.52268106781196,-1.8461613101455892
